id	text	label
0	how old is tom hanks	qa/factoid
1	what is the age of britney spears	qa/factoid
2	could you play you don't bring me flowers	play/music
3	remove the board meeting and reschedule for next wednesday	calendar/remove
4	can you shut off please.	general/commandstop
5	play animal farm	play/audiobook
6	funny joke	general/joke
7	rowan atkinson info	qa/factoid
8	look up for the residential address of my team leader	email/querycontact
9	explain further on last sentence to me please.	general/explain
10	didn't understand your answers.	general/explain
11	i need the times for the south bound train on allison rd	transport/ticket
12	i'd like an espresso	iot/coffee
13	please make me a cup of coffee	iot/coffee
14	show me the information of friend	email/querycontact
15	s1, can you please explain more on what you've said to me.	general/explain
16	yeap you have gotten the command perfectly.	general/affirm
17	i love this song	music/likeness
18	play anything new from my podcast subscriptions	play/podcasts
19	find and queue all songs of kate perry and play all without shuffling	play/music
20	i need the arrival time for new york train	transport/query
21	i need oranges added to my grocery list	lists/createoradd
22	what is the home phone number of mark	email/querycontact
23	can you tweet lif about their app crashing	social/post
24	have my iroomba clean the house	iot/cleaning
25	send a tweet to esurance to say i hate you	social/post
26	i want blue lighting	iot/hue_lightchange
27	what does obsessed mean	qa/definition
28	i need to book a train ticket to la	transport/ticket
29	it is too dark in here increase the brightness of the lights	iot/hue_lightup
30	cheer me up	general/joke
31	how long is the walk from nyack to valley cottage	transport/query
32	badminton	recommendation/events
33	what events are going on around my place	recommendation/events
34	remove all the events of last month from the calendar	calendar/remove
35	lower volume	audio/volume_down
36	what's happening in my social media	social/query
37	lets send a tweet	social/post
38	can you turn down the volume please and tell me what is the title of this song	music/query
39	reply email	email/sendemail
40	please submit status to facebook	social/post
41	make a laundry setting for the volume at twenty	music/settings
42	what is this event is called which happening my area	recommendation/events
43	how long should i cook a steak to be medium	cooking/recipe
44	how many millilitres is two table spoons	cooking/recipe
45	please remove this alarm	alarm/remove
46	are there any good movies running in nearby theaters	recommendation/movies
47	tell me current situation of traffic near central park road	transport/traffic
48	how many dollars are in a euro	qa/currency
49	remind me to take the casserole out of the oven at seven hundred and forty five pm	calendar/set
50	what are my plans for today	calendar/query
51	check what just said please.	general/confirm
52	trash file one	lists/remove
53	hey turn on disco lights in my apartment and let the party begin	iot/hue_lighton
54	what day does my birthday fall on next year	datetime/query
55	what is the time difference between my location and hong kong	datetime/convert
56	any good bike shops in oxford	recommendation/locations
57	let's hear ninety two point one	play/radio
58	show me today all train times of next two hours at jodhpur to jaisalmer	transport/query
59	turn up the volume	audio/volume_up
60	add grocery to list	lists/createoradd
61	what is the traffic now	transport/traffic
62	what's happening here	recommendation/events
63	Play best friends by yelawolf	play/music
64	checkout today set alarm of ten am	alarm/query
65	is i. b. m. up today	qa/stock
66	i don't really care.	general/dontcare
67	social info	social/query
68	did anyone like my photo i just posted	social/query
69	open lists remove list	lists/remove
70	remove the guest list i created last week	lists/remove
71	who is the artist of the song playing now	music/query
72	turn off the alarm	alarm/remove
73	when is my takeaway arriving	takeaway/query
74	resume playback	play/audiobook
75	change my plan erase my next event	calendar/remove
76	turn off the light of my bed room please	iot/hue_lightoff
77	turn on spotify shuffle	music/settings
78	have no idea regarding to which to select.	general/dontcare
79	set alarm on twenty fifth may at five pm	alarm/set
80	make a coffee for me	iot/coffee
81	i want to see the previous episode	play/podcasts
82	please mute the volume control	audio/volume_mute
83	i need a ticket for a train ride to atlanta	transport/ticket
84	check delivery options for the restaurant	takeaway/query
85	increase light brightness	iot/hue_lightup
86	what is a good way to make steak	cooking/recipe
87	make a new alarm	alarm/set
88	i think that's not correct answer.	general/negate
89	play pong against me	play/game
90	please set alarm at five pm	alarm/set
91	that song is my favorite	music/likeness
92	i want to hear your last instruction you said again.	general/repeat
93	yeah you've gotten my instructions right.	general/affirm
94	thanks but i think you have messed up my request.	general/negate
95	what is time now in california	datetime/query
96	can you tell me if i have any alarms set	alarm/query
97	recipe for meal	cooking/recipe
98	is my school alarm set	alarm/query
99	uh no, i think you have done task in wrong manner.	general/negate
100	train ticket	transport/ticket
101	i need to delete the alarm for church on sundays at eleven am	alarm/remove
102	could you speak that once more.	general/repeat
103	will there be snow this week	weather/query
104	i no longer need the daily five pm alarm	alarm/remove
105	add that song to my playlist	music/likeness
106	what is in a curry	cooking/recipe
107	send tweet to united airlines i'm angry you lost my bags	social/post
108	please could you tell me if george's geek restaurant can i order takeaway from there	takeaway/query
109	play the next episode of radiolab	play/podcasts
110	how is the traffic at the moment	transport/traffic
111	show me the alarms that are set	alarm/query
112	tell me time of alarm you set	alarm/query
113	send me a wake up alert at seven am tomorrow morning	alarm/set
114	cancel all meetings for today	calendar/remove
115	is there any new environmental news	news/query
116	book me a train ticket for this afternoon to chicago	transport/ticket
117	i'd like a cappuccino please	iot/coffee
118	please tell me when i can become rich if i invested in dow stocks today and what will be the return after five years	qa/stock
119	accident or normal traffic	transport/traffic
120	raise your volume	audio/volume_up
121	olly that's all, just stop.	general/commandstop
122	set the time	alarm/set
123	what is my schedule for tomorrow	calendar/query
124	i want a lower light	iot/hue_lightdim
125	when the meeting start	calendar/query
126	list my different alarm	alarm/query
127	what is tom's phone number	email/querycontact
128	what is a good rap album that came out this year	music/query
129	whats the current price of mcdonalds stock	qa/stock
130	set alarm for tomorrow at two pm	alarm/set
131	wait, you did not interpret command right.	general/negate
132	are there any new emails from robert jones	email/query
133	outlet on	iot/wemo_on
134	remove alarm of seven thirty am on monday	alarm/remove
135	i want to cancel the recording i have on the dvr list for this morning	lists/remove
136	find recipe chicken casserole	cooking/recipe
137	show me what the ingredients are	cooking/recipe
138	i need to turn the lights down	iot/hue_lightdim
139	what is the current time in california	datetime/query
140	what is today	datetime/query
141	can you look up and add john's old email to my contacts again	email/addcontact
