id	text	label
0	that is accurate	yes
1	i need to switch to a new insurance plan	insurance_change
2	please put annie's baby shower on march 30 in my calendar	calendar_update
3	what's the average time it takes for a new card to arrive	replacement_card_duration
4	certainly not	no
5	will i need a visa to go to moldova	international_visa
6	yes, that's right	yes
7	has there been any changes in the status of my credit card application	application_status
8	how long should i fry an egg for	cook_time
9	how long is the drive from sfo to fisherman's wharf	distance
10	i'm too drunk to drive and need an uber home	uber
11	what is my annual percentage rate	interest_rate
12	call aj	make_call
13	that is incorrect	no
14	i need to get some assistance figuring out how to rollover my 401k, please	rollover_401k
15	please put babysitting on my to do list	todo_list_update
16	is there a charge to use my card in france	international_fees
17	are you working for me or what	who_do_you_work_for
18	i need to know when i was paid last	payday
19	what's the updated status of my order	order_status
20	what should i do now that my car battery is dead	jump_start
21	what do i do to set up a vacation	pto_request
22	i vote yes	yes
23	tell me the number of points on my visa card	rewards_balance
24	i'd like to add pancake mix to my shopping list if it's not already there	shopping_list_update
25	do i have transaction fees if i use my american card internationally	international_fees
26	i wanna switch to the male voice	change_accent
27	find my current location	current_location
28	what timezone is phoenix in	timezone
29	i'm looking for a flight from billings to cleveland on may 2 and a return on may 9	book_flight
30	would you mind switching to whisper mode	whisper_mode
31	how many calories are in oranges	calories
32	do i have brush my teeth on my todo list	todo_list
33	can i ask your name	what_is_your_name
34	it could be either	maybe
35	what exactly is my credit limit	credit_limit
36	can you let me listen to elvis	play_music
37	visa's are hard to get do i need one when i travel to israel	international_visa
38	clear my calendar on march 1st	calendar_update
39	let me pick your brain what do you think we should do for dinner tonight	meal_suggestion
40	i'm out of bananas; add to shopping list	shopping_list_update
41	is my day off request approved	pto_request_status
42	roll the five sided die	roll_dice
43	what's the timezone over there	timezone
44	i would like to change my insurance from a ppo to an hmo plan	insurance_change
45	i wanna know when should i get my tires changed next	tire_change
46	what is good riddance mean	definition
47	why can't i log into my bank account	account_blocked
48	will i be charged if i use the card in italy	international_fees
49	how many calories are in a bag of regular doritos	calories
50	you talk too slow	change_speed
51	what name do you go by	what_is_your_name
52	which ingredients does gumbo have	ingredients_list
53	when can i start boarding my flight	flight_status
54	thanks, bye	goodbye
