id	text	label
0	Could you help my figure out the exchange fee?	exchange_charge
1	I made a cash deposit to my account but i don't see it	balance_not_updated_after_cheque_or_cash_deposit
2	Hello - I'm on the app and trying to purchase crypto. It's not going through. What am I doing wrong?	beneficiary_not_allowed
3	Why is it saying I have a pending payment?	pending_card_payment
4	Is there an extra charge to exchange different currencies?	exchange_charge
5	Do top-up limits exist?	top_up_limits
6	What is the procedure for depositing a virtual card	get_disposable_virtual_card
7	i have a pending top-up	pending_top_up
8	What card or currency can I use to pay?	supported_cards_and_currencies
9	I deposited some money, but the balance has not changed.	balance_not_updated_after_cheque_or_cash_deposit
10	What steps are taken to transfer money into my account?	transfer_into_account
11	Where can I check out the source of available funds in my account?	verify_source_of_funds
12	My top up was denied	top_up_failed
13	Do I need to verify the top-up?	verify_top_up
14	Can I use my account before my Identity verification has passed?	why_verify_identity
15	Please tell me the steps to verify my identity.	verify_my_identity
16	I got billed an extra pound!	extra_charge_on_statement
17	How long should it take for my new card to arrive in them mail? What should I do if I never receive it?	card_arrival
18	What are the currency types that I can keep money in.	fiat_currency_support
19	Please help me, there is a transaction in the incorrect account.	cancel_transfer
20	Can I add money to my account via bank transfer?	transfer_into_account
21	Will my transfer be done soon?	pending_transfer
22	What is the auto top-up limit?	automatic_top_up
23	I need to cancel a transaction on my debit card.	direct_debit_payment_not_recognised
24	I do not feel comfortable verifying my identity.	why_verify_identity
25	I Submitted a cheque couple of days ago, nothing happened to my account yet.What could be the possible issue?	balance_not_updated_after_cheque_or_cash_deposit
26	Hello, I am buying a flat and need the inital payment for the mortgage to go through. It keeps showing up as error, what is going on? Can you please help me make this transfer?	failed_transfer
27	Some cash was missing at ATM.	wrong_amount_of_cash_received
28	I didn't get all the cash I asked for	wrong_amount_of_cash_received
29	There is a cash withdrawal in my account that isn't mine.	cash_withdrawal_not_recognised
30	how to change name on account	edit_personal_details
31	How long does it take to verify a person's identity?	unable_to_verify_identity
32	Why does a cash withdrawal show as pending?	pending_cash_withdrawal
33	I am not comfortable verifying my indentity.	why_verify_identity
34	What other currencies can I hang onto?	fiat_currency_support
35	Can my PIN changed remotely without visiting a bank?	change_pin
36	What does a transfer cost?	top_up_by_bank_transfer_charge
37	Would I be charged any fees if I added money to my account using an international card?	top_up_by_card_charge
38	How can a payment be declined	declined_card_payment
39	Is there such thing as an auto top-up option?	automatic_top_up
40	I got an unexpected charge on my transfers. How can I correct this?	transfer_fee_charged
41	"What do I do with my ""decline"" message on a transfer?"	declined_transfer
42	What is the maximum transactions I can use on a disposable card?	disposable_card_limits
43	What currences are available for exchange?	exchange_via_app
44	Why am I being charged for transferring money?	transfer_fee_charged
45	Is it possible to hold money in different currencies?	fiat_currency_support
46	Can I check to see where the funds came from?	verify_source_of_funds
47	There was an extra charge when I used my card	card_payment_fee_charged
48	I contacted the seller for a direct refund last week but he still hasn't give me my money. What should I do?	Refund_not_showing_up
49	Please tell me where I can update my details since I moved.	edit_personal_details
50	I seem to have a problem here, I bought something about a 2 weeks ago and just now received the payment back into my account and I've already received the item. Can you tell me what is going on here?	reverted_card_payment?
51	I need to update my address.	edit_personal_details
52	How long will it take for the money to reach my account?	transfer_timing
53	What countries do your accounts send and receive to?	country_support
54	My top up did not show up as shown and my money has disappeared, can you help me fix this glitch problem?	top_up_reverted
55	The ATM kept my card?	card_swallowed
56	Is going to a bank only way to change my PIN?	change_pin
57	I tried to pay with my card and it didn't work	declined_card_payment
58	Lost password	passcode_forgotten
59	need help with google pay top up	apple_pay_or_google_pay
60	I would like a  physical card sent to me.	order_physical_card
61	How can I convert currencies?	exchange_via_app
62	If I need more than cards will I have to pay a fee to receive them?	getting_spare_card
63	Whats the reason for my payment being declined? It looked like everything went through ok and my account was good.	declined_card_payment
64	I transferred money and it didn't get there.	transfer_not_received_by_recipient
65	You sent me a card and now I want to link it.	card_linking
66	I didn't see the money I added to my card.	top_up_failed
67	Please double check my card - withdrawal was working fine so far, but this morning on the way to work it suddenly got declined!	declined_cash_withdrawal
68	Do you accept cheques for top-up?	top_up_by_cash_or_cheque
69	Why can I not do a  transfer	beneficiary_not_allowed
70	What is the extra fee that showed up on my card?	card_payment_fee_charged
71	Why is there an extra fee on my statement?	extra_charge_on_statement
72	After taking over my card transactions I noticed that was charged twice for a restaurant purchased from earlier this week. Can you please remove one of these transactions from my account since it is not accurate?	transaction_charged_twice
73	I need to reset my passcode, this one isn't working	passcode_forgotten
74	How long do transfers typically take? Is there a way of speeding the process up? My friend needs the money I sent her desperately.	transfer_not_received_by_recipient
75	I tried to withdraw cash at an ATM in the city center but my card was declined. The transaction is still showing up as pending - please cancel it!	pending_cash_withdrawal
76	I think that there was an error in calculating the exchange rate.  I recently withdrew cash and received much less than expected.	wrong_exchange_rate_for_cash_withdrawal
77	I tried to transfer funds to a beneficiary and was denied. Can you tell me why?	beneficiary_not_allowed
78	How do I cancel a transfer?	cancel_transfer
79	Help.  My card is broken.	card_not_working
80	Can I use the app without my phone?	lost_or_stolen_phone
81	Why am I not allowed to verify my id?	unable_to_verify_identity
82	Help me.  The passcode doesn't work.	passcode_forgotten
83	What's the process for topping up by card?	topping_up_by_card
84	I have a new card. How do i top it up?	topping_up_by_card
85	Is it possible to get a refund?	request_refund
86	My wallet was stolen, along with my cards. How do I put a freeze on my cards and order a new one?	lost_or_stolen_card
87	explain the virtual card	getting_virtual_card
88	What are the restrictions on the virtual cards?	disposable_card_limits
89	I found my card again. Can I put it back into the app?	card_linking
